"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.178147870E2,4.770585257E1,1.771655835E1,1.185169448E2,1.000486565E1,2.218564224E1,1.200181241E1,1.200181241E1
1.188147802E2,4.770587416E1,1.771674129E1,1.180246372E2,9.325719833E0,4.996525508E1,1.200181241E1,1.200181241E1
1.198147751E2,4.770591724E1,1.771684530E1,1.178168188E2,8.895606041E0,6.458434951E1,8.001208274E0,8.001208274E0
1.208147690E2,4.770594344E1,1.771698635E1,1.178760312E2,1.104488468E1,9.166532557E1,8.001208274E0,8.001208274E0
1.218147633E2,4.770593976E1,1.771713677E1,1.180479558E2,1.104488468E1,7.040629347E1,8.001208274E0,8.001208274E0
1.228147566E2,4.770599465E1,1.771726427E1,1.181643411E2,1.104488468E1,4.706350708E1,8.001208274E0,8.001208274E0
1.238147507E2,4.770606480E1,1.771735120E1,1.181827774E2,1.141449261E1,3.134221840E1,1.200181241E1,1.200181241E1
1.248147447E2,4.770616311E1,1.771740204E1,1.180451084E2,1.141449261E1,9.157868385E0,1.200181241E1,1.200181241E1
1.258147396E2,4.770628877E1,1.771739892E1,1.178138534E2,1.308012295E1,3.472824402E2,1.200181241E1,1.200181241E1
1.268147334E2,4.770639797E1,1.771730732E1,1.176825538E2,1.391068268E1,3.216802979E2,1.200181241E1,1.200181241E1
1.278147272E2,4.770644453E1,1.771720753E1,1.176762491E2,1.391068268E1,3.132781677E2,8.001208274E0,8.001208274E0
1.288147217E2,4.770659179E1,1.771698212E1,1.178132910E2,1.456229687E1,3.518722839E2,8.001208274E0,8.001208274E0
1.298147149E2,4.770673607E1,1.771692468E1,1.177367837E2,1.599420834E1,3.518730774E2,8.001208274E0,8.001208274E0
1.308147095E2,4.770689910E1,1.771688700E1,1.175533792E2,1.872978783E1,3.523296814E2,8.001208274E0,8.001208274E0
1.318147035E2,4.770707867E1,1.771686647E1,1.175727631E2,1.938759804E1,3.515991821E2,1.200181241E1,1.200181241E1
