"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.062081292E0,7.433769293E-3,4.570249002E-3,-1.911141872E-1
2.072121292E0,3.610801417E-3,-7.598000579E-3,-1.885586232E-1
2.082161292E0,-3.164088354E-3,-1.526843198E-2,-1.850935072E-1
2.092202292E0,5.037116352E-3,5.410481710E-3,-1.801823825E-1
2.102242292E0,-1.755201258E-3,-9.572735056E-3,-1.812905818E-1
2.112282292E0,-3.413286060E-3,1.202681568E-3,-1.884310544E-1
2.122323292E0,-8.778218180E-4,9.181525558E-3,-1.940416694E-1
2.132363292E0,-4.748726264E-3,-3.918297589E-3,-1.945961416E-1
2.142403292E0,-5.662888288E-3,9.535465389E-3,-1.902835220E-1
2.152443292E0,2.418739721E-3,1.685835980E-2,-1.902851164E-1
2.162484292E0,1.429555938E-3,1.959473640E-2,-1.883366555E-1
2.172524292E0,7.282118779E-3,1.701200381E-2,-1.963527799E-1
2.182564292E0,2.914060373E-3,1.534433104E-2,-1.981246471E-1
2.192605292E0,7.361272816E-3,1.277970709E-2,-2.007119060E-1
2.202645292E0,7.460088003E-3,1.261038519E-2,-1.992165446E-1
2.212685292E0,1.026865747E-2,6.204683799E-3,-1.977163851E-1
2.222725292E0,1.080617309E-2,4.026962910E-3,-1.995569915E-1
2.232766292E0,1.460890006E-2,7.736479398E-3,-2.039200515E-1
2.242806292E0,8.623553440E-3,-1.192301046E-3,-2.078435123E-1
2.252846292E0,2.791230101E-3,-1.063134335E-2,-2.097945511E-1
2.262887292E0,3.224186134E-3,-5.513521377E-3,-2.080357075E-1
2.272927292E0,-5.117899738E-3,-1.826819777E-2,-2.068878859E-1
2.282967292E0,1.507436857E-3,-7.134610787E-3,-2.091006488E-1
2.293007292E0,-5.743285641E-3,-1.782666892E-2,-2.119987011E-1
2.303048292E0,-2.667658962E-3,-7.248329930E-3,-2.110588104E-1
2.313088292E0,-6.772655062E-3,9.084837511E-3,-2.126023769E-1
2.323128292E0,-1.242952421E-3,6.512234919E-3,-2.153104693E-1
2.333169292E0,-6.221465766E-3,1.427188702E-2,-2.141405344E-1
2.343209292E0,-5.711428821E-3,3.363550641E-4,-2.168258429E-1
2.353219292E0,-3.571312875E-3,7.515172008E-3,-2.156386077E-1
2.363259292E0,-1.911071129E-3,-9.956756607E-3,-2.210741490E-1
2.373299292E0,-6.444036961E-3,-4.295641556E-4,-2.199891806E-1
2.383339292E0,-9.336582385E-3,-9.588716552E-3,-2.216290683E-1
2.393380292E0,-7.298198529E-3,-1.594807953E-2,-2.238794416E-1
2.403420292E0,-8.225761354E-3,-9.616401047E-3,-2.254935950E-1
2.413460292E0,-4.751667380E-3,-2.241768315E-2,-2.283189446E-1
2.423501292E0,-7.071095519E-3,-1.837901026E-2,-2.290142179E-1
2.433541292E0,1.798296347E-3,-2.200410515E-2,-2.327184081E-1
2.443581292E0,-2.423595637E-3,-2.326457389E-2,-2.332774103E-1
2.453621292E0,1.713891048E-3,-3.267565370E-2,-2.377970666E-1
2.463662292E0,4.396657925E-3,-2.145228907E-2,-2.371591330E-1
2.473702292E0,6.221189629E-3,-1.528840326E-2,-2.403381616E-1
2.483742292E0,7.237287238E-3,-9.930126369E-3,-2.416197658E-1
2.493783292E0,2.299520187E-3,-3.868238768E-3,-2.426141798E-1
2.503823292E0,-2.130731940E-3,1.407057419E-2,-2.430538088E-1
2.513863292E0,-4.555273801E-3,1.676383056E-2,-2.435278445E-1
2.523903292E0,-5.997227505E-3,4.536695406E-2,-2.471165955E-1
2.533944292E0,-1.585758105E-2,5.046131834E-2,-2.474412322E-1
2.543984292E0,-2.043160796E-2,7.276504487E-2,-2.465599477E-1
2.554024292E0,-2.382314391E-2,8.443848044E-2,-2.419430912E-1
2.564065292E0,-1.884889044E-2,8.611253649E-2,-2.395246625E-1
2.574105292E0,-2.531904168E-2,8.593570441E-2,-2.382729948E-1
2.584145292E0,-2.728178911E-2,5.595996603E-2,-2.422919571E-1
2.594185292E0,-2.805570699E-2,3.256276250E-2,-2.486526668E-1
2.604226292E0,-2.110671997E-2,1.473849174E-2,-2.557521164E-1
2.614266292E0,-2.320502326E-2,8.900533430E-4,-2.529768348E-1
2.624306292E0,-2.109553479E-2,5.784635432E-4,-2.502963543E-1
2.634346292E0,-1.544332411E-2,6.440928206E-3,-2.490552664E-1
2.644387292E0,-1.225523744E-2,1.890138537E-2,-2.505517006E-1
2.654427292E0,-4.246845841E-3,4.082772136E-2,-2.493607402E-1
2.664467042E0,-1.249008719E-2,2.960938774E-2,-2.495128363E-1
2.674508042E0,-1.029251143E-4,5.086194724E-2,-2.485631555E-1
2.684548042E0,-2.460673451E-3,3.866670281E-2,-2.528526485E-1
2.694588042E0,-5.378704518E-4,3.934021294E-2,-2.530068457E-1
2.704628042E0,6.236569025E-4,4.011254013E-2,-2.487576306E-1
2.714669042E0,-1.673319377E-3,3.485972062E-2,-2.503081262E-1
2.724709042E0,-1.782940701E-3,3.867948800E-2,-2.523143888E-1
2.734749042E0,-5.541726947E-3,2.570164017E-2,-2.551639676E-1
2.744790042E0,-6.838610396E-3,2.514375001E-2,-2.542548478E-1
2.754830042E0,-1.093268674E-2,2.200494707E-2,-2.593007386E-1
2.764870042E0,-1.522497553E-2,6.108671892E-3,-2.598479390E-1
2.774910042E0,-2.121202648E-2,5.671666004E-4,-2.574524283E-1
2.784951042E0,-1.978895441E-2,-1.118701976E-2,-2.573375404E-1
2.794991042E0,-3.037821501E-2,-2.624506503E-2,-2.596222758E-1
2.805031042E0,-2.441621199E-2,-2.656310424E-2,-2.624028325E-1
2.815041042E0,-3.437590227E-2,-3.292326257E-2,-2.656819820E-1
2.825081042E0,-3.403591737E-2,-4.977014661E-2,-2.662004232E-1
2.835122042E0,-4.166454449E-2,-4.112685472E-2,-2.620680034E-1
2.845162042E0,-3.913566470E-2,-3.965814412E-2,-2.591240704E-1
2.855202042E0,-4.259564355E-2,-2.841427922E-2,-2.585224509E-1
2.865242042E0,-3.393251076E-2,-2.749377862E-2,-2.596331537E-1
2.875283042E0,-3.593600541E-2,-1.971947961E-2,-2.615988255E-1
2.885323042E0,-3.808914870E-2,-2.471247315E-2,-2.629418671E-1
2.895363042E0,-3.161500394E-2,-7.342536934E-3,-2.602715194E-1
2.905404042E0,-1.744126901E-2,2.213576809E-2,-2.517045140E-1
2.915444042E0,-1.259538252E-2,4.707920551E-2,-2.454985678E-1
2.925484042E0,-2.745709382E-3,4.975393787E-2,-2.496163100E-1
2.935524042E0,-3.930550069E-3,4.708092287E-2,-2.543929815E-1
2.945565042E0,1.647422556E-3,4.426854476E-2,-2.649371922E-1
2.955605042E0,2.017335501E-3,5.394807085E-2,-2.663667798E-1
2.965645042E0,-6.397189572E-4,2.609853074E-2,-2.549242079E-1
2.975686042E0,2.165655140E-3,2.359462529E-2,-2.501609027E-1
2.985726042E0,3.200251609E-3,-7.751808502E-3,-2.533649206E-1
2.995766042E0,5.040762015E-3,-2.082020603E-2,-2.722701728E-1
3.005806042E0,-3.245336935E-3,-4.167059809E-2,-2.857178450E-1
3.015847042E0,1.993101090E-3,-2.974469773E-2,-2.929325998E-1
3.025887042E0,-1.440779306E-3,-2.560747089E-3,-2.840339243E-1
3.035927042E0,2.537905239E-4,7.380833384E-3,-2.767951787E-1
3.045968042E0,-3.834204748E-3,6.127867382E-3,-2.739767432E-1
3.056008042E0,5.884734914E-3,2.065434493E-2,-2.894659638E-1
3.066048042E0,5.598613061E-3,1.404385641E-2,-2.963202596E-1
3.076088042E0,4.445197992E-3,3.358989488E-3,-3.030266464E-1
3.086129042E0,1.163341757E-2,6.842314266E-3,-2.989896536E-1
3.096169042E0,1.794191450E-2,1.596419606E-3,-2.993342876E-1
3.106209042E0,2.476007491E-2,6.010792218E-3,-2.964526415E-1
3.116250042E0,2.937400341E-2,-9.077345952E-3,-2.987682521E-1
3.126290042E0,3.636944667E-2,2.436120994E-3,-3.040052354E-1
3.136330042E0,3.883047402E-2,-2.550150454E-2,-3.093792200E-1
3.146370042E0,4.454883561E-2,-2.102249861E-2,-3.084958792E-1
3.156411042E0,4.975371808E-2,-3.858285025E-2,-3.072732389E-1
3.166451042E0,5.789592490E-2,-3.512359411E-2,-3.049364090E-1
3.176491042E0,5.467989296E-2,-5.831440166E-2,-3.080216944E-1
3.186532042E0,6.721270829E-2,-5.613816157E-2,-3.087436557E-1
3.196572042E0,5.508733541E-2,-7.139807194E-2,-3.079391122E-1
3.206612042E0,7.131046802E-2,-6.204286590E-2,-3.086554706E-1
3.216652042E0,6.298622489E-2,-6.754282117E-2,-3.101591170E-1
3.226693042E0,6.900706142E-2,-6.221217662E-2,-3.097446561E-1
3.236733042E0,7.197728008E-2,-5.105885863E-2,-3.064844310E-1
3.246773042E0,7.206037641E-2,-4.672716185E-2,-3.106919527E-1
3.256814042E0,6.825631112E-2,-4.493672028E-2,-3.077686131E-1
3.266854042E0,7.116106153E-2,-2.793709189E-2,-3.075508177E-1
3.276864042E0,6.533646584E-2,-3.414252400E-2,-3.105311394E-1
3.286904042E0,6.676042825E-2,-2.561417595E-2,-3.155263662E-1
3.296944042E0,5.818797648E-2,-2.015123516E-2,-3.156608641E-1
3.306984042E0,5.745873600E-2,-2.303472534E-2,-3.157503009E-1
3.317025042E0,5.386799574E-2,3.062920645E-3,-3.167388737E-1
3.327065042E0,4.539250210E-2,-8.111860603E-3,-3.184904456E-1
3.337105042E0,4.180282727E-2,7.231408730E-3,-3.180744648E-1
3.347146042E0,4.056636244E-2,1.418194734E-3,-3.234224021E-1
3.357186042E0,3.711144254E-2,6.692052819E-3,-3.257939517E-1
3.367226042E0,3.482973576E-2,7.051490247E-4,-3.278955221E-1
3.377266042E0,2.335204370E-2,3.174432088E-3,-3.248216808E-1
3.387307042E0,1.905060560E-2,-4.249411169E-3,-3.233568072E-1
3.397347042E0,1.113649085E-2,-1.152954064E-3,-3.206502199E-1
3.407387042E0,1.002364419E-2,-1.006451156E-2,-3.230404854E-1
3.417428042E0,1.777165569E-3,7.132318802E-3,-3.211725354E-1
3.427468042E0,5.282016471E-3,6.045924034E-3,-3.213002682E-1
3.437508042E0,-3.224652261E-3,1.806476898E-2,-3.225429058E-1
3.447548042E0,-1.968334429E-3,1.266784593E-2,-3.289878368E-1
3.457589042E0,-4.687953740E-3,3.726772964E-2,-3.259718120E-1
3.467629042E0,-1.257963851E-2,1.173446327E-2,-3.245995343E-1
3.477669042E0,-4.215182737E-3,3.670372814E-2,-3.195483387E-1
3.487710042E0,-1.608523913E-2,1.868087053E-2,-3.190678060E-1
3.497750042E0,-8.398823440E-3,3.088587150E-2,-3.178536892E-1
3.507790042E0,-1.731565967E-2,1.018679142E-2,-3.265390098E-1
3.517830042E0,-1.498725638E-2,3.246706352E-2,-3.273677826E-1
3.527871042E0,-2.305958793E-2,1.817011274E-2,-3.245711625E-1
3.537911042E0,-2.078072354E-2,4.546272010E-2,-3.241706491E-1
3.547951042E0,-2.849602140E-2,3.731412441E-2,-3.257899880E-1
3.557992042E0,-2.940708958E-2,3.616630286E-2,-3.264166117E-1
3.568032042E0,-3.522175178E-2,3.633552417E-2,-3.271426857E-1
3.578072042E0,-3.583161905E-2,3.456106037E-2,-3.279799819E-1
3.588112042E0,-3.954949230E-2,3.347850591E-2,-3.290019929E-1
3.598153042E0,-3.571427241E-2,4.356869310E-2,-3.229414523E-1
3.608193042E0,-3.693654388E-2,4.654541612E-2,-3.222400844E-1
3.618233042E0,-3.964684159E-2,4.173973948E-2,-3.229487538E-1
3.628273042E0,-3.604884446E-2,3.458041698E-2,-3.249728382E-1
3.638314042E0,-3.765686229E-2,2.285798080E-2,-3.243919909E-1
3.648354042E0,-3.594849259E-2,1.018062979E-2,-3.251836896E-1
3.658406000E0,-3.374445811E-2,9.978761896E-3,-3.202416897E-1
3.668447000E0,-2.945709601E-2,7.311394438E-4,-3.186924458E-1
3.678487000E0,-3.107549995E-2,-7.753957994E-3,-3.190961778E-1
3.688527000E0,-2.464015037E-2,-4.897885490E-3,-3.200283945E-1
3.698567000E0,-2.114848047E-2,2.720352728E-3,-3.220981956E-1
3.708608000E0,-2.245209739E-2,-1.815243810E-2,-3.236494958E-1
3.718648000E0,-1.583653875E-2,2.161355224E-3,-3.173961341E-1
3.728688000E0,-2.044653520E-2,-1.464084163E-2,-3.189321756E-1
3.738729000E0,-1.463152375E-2,-1.678974554E-2,-3.152585924E-1
3.748738000E0,4.445905797E-4,-1.628153957E-2,-3.193808496E-1
3.758779000E0,-8.539848961E-3,-2.275648341E-2,-3.191824555E-1
3.768819000E0,9.825685993E-4,-3.615950048E-2,-3.238941431E-1
3.778859000E0,4.643083550E-3,-2.165352926E-2,-3.195902109E-1
3.788900000E0,5.444820505E-3,-2.347883210E-2,-3.161045015E-1
3.798940000E0,1.263136044E-2,-1.603263430E-2,-3.160538971E-1
3.808980000E0,1.646678150E-2,-1.689466462E-2,-3.205343485E-1
3.819020000E0,2.237340622E-2,1.814042218E-3,-3.212787211E-1
3.829061000E0,2.104731649E-2,4.779649898E-4,-3.211958110E-1
3.839101000E0,2.574326843E-2,7.969170809E-3,-3.214466572E-1
3.849141000E0,2.997446060E-2,1.260902733E-2,-3.186311126E-1
3.859181000E0,3.181763366E-2,8.390581235E-3,-3.180111349E-1
3.869222000E0,3.541789949E-2,-7.861790247E-3,-3.190462291E-1
3.879262000E0,3.281679004E-2,-4.590629600E-3,-3.222662807E-1
3.889302000E0,3.060208634E-2,-2.136780322E-2,-3.239001036E-1
